freq1,noise,max_magnitude,total_gain_db,base_pwr_db,rssi,relpwr_db,avgpwr_db,label
2417,-103,103,81,381,11,15,58,0
5805,-102,35,61,400,28,15,59,1
5180,-102,31,75,386,12,8,58,1
5805,-102,42,81,380,11,10,59,1
2447,-101,93,81,379,10,9,59,0
2427,-102,69,77,384,9,9,55,0
2447,-101,82,81,379,4,12,55,0
5805,-102,48,60,400,27,14,58,1
2447,-101,44,69,391,5,13,47,0
5805,-102,32,82,379,10,8,58,1
5765,-102,88,80,381,13,12,61,1
5805,-102,45,61,400,27,14,59,1
2452,-101,57,74,385,11,15,57,0
2432,-102,73,80,381,8,15,55,0
2417,-102,67,78,382,11,15,56,0
5805,-102,38,61,400,25,14,59,1
2462,-102,47,81,380,5,13,57,0
2447,-101,51,74,386,5,13,50,0
5805,-102,40,60,400,27,13,57,1
5805,-102,37,80,380,10,9,58,1
5805,-102,47,62,399,26,13,60,1
5805,-102,46,62,398,26,14,59,1
2437,-101,29,81,379,5,10,53,0
2447,-101,49,74,385,4,11,50,0
5805,-102,40,61,400,26,13,59,1
2447,-101,46,74,385,3,13,49,0
2412,-108,96,77,390,17,20,63,0
2457,-101,87,81,379,5,13,56,0
2417,-101,61,81,379,8,14,58,0
5805,-102,34,60,400,27,14,58,1
5805,-102,38,60,400,28,11,58,1
2412,-107,36,81,385,7,12,54,0
2452,-101,55,74,386,4,12,50,0
2432,-102,119,81,380,11,15,58,0
2432,-102,101,74,386,7,12,51,0
2432,-102,67,79,381,11,16,61,0
2417,-102,34,81,380,8,15,56,0
5765,-102,59,78,382,13,10,58,1
2457,-102,52,81,380,5,14,56,0
2447,-101,44,69,390,5,12,46,0
2447,-101,106,74,386,7,13,54,0
2457,-101,81,72,387,16,15,54,0
5805,-102,54,62,398,24,16,60,1
5765,-102,39,78,383,13,9,58,1
2442,-101,92,77,383,9,15,54,0
2447,-101,54,74,386,7,14,51,0
2412,-108,44,81,386,12,14,57,0
5805,-102,42,61,399,26,14,59,1
2452,-101,103,74,386,5,15,51,0
5805,-102,47,61,399,25,16,59,1
2427,-101,115,74,386,3,12,51,0
2437,-101,107,74,385,5,0,51,0
2422,-102,40,69,392,5,10,43,0
2427,-102,41,81,380,6,8,55,0
5805,-102,33,59,401,28,14,57,1
2452,-101,42,74,385,5,12,48,0
5240,-102,27,74,387,12,10,56,1
2432,-102,117,74,386,6,13,51,0
2442,-101,111,74,386,4,13,52,0
2432,-102,77,77,384,9,15,56,0
5805,-102,59,60,400,27,16,59,1
2462,-101,105,81,379,4,12,56,0
2437,-101,61,81,379,5,13,55,0
2427,-102,34,74,387,9,13,51,0
5785,-102,64,71,390,14,2,56,1
2437,-101,95,81,379,6,11,56,0
5805,-102,47,63,397,25,15,60,1
5805,-102,36,60,400,28,15,58,1
2417,-102,115,78,383,10,16,56,0
2427,-102,75,80,381,9,16,58,0
5805,-102,32,60,400,26,15,58,1
5805,-102,31,60,400,27,17,58,1
5805,-102,35,61,399,26,13,58,1
2457,-101,91,72,387,16,16,53,0
2447,-101,103,74,386,5,12,51,0
2422,-102,40,81,380,4,6,55,0
2457,-101,88,74,386,7,13,51,0
5805,-102,47,60,400,26,14,58,1
5805,-102,43,59,402,29,15,57,1
5805,-102,37,81,380,10,8,57,1
2432,-102,102,74,386,15,17,53,0
5805,-102,59,61,400,28,17,59,1
2427,-102,103,81,380,3,14,56,0
2447,-101,36,74,386,6,10,50,0
2422,-102,33,81,380,5,11,55,0
2452,-102,59,81,380,4,12,54,0
5805,-102,36,79,381,11,10,58,1
5805,-102,46,61,400,27,14,59,1
5805,-102,35,60,400,26,15,57,1
2462,-101,91,80,380,10,13,58,0
5805,-102,33,60,400,26,14,59,1
2412,-107,46,74,392,11,5,49,0
2442,-101,47,81,379,5,12,57,0
5805,-102,23,77,383,12,10,56,1
2427,-102,39,80,381,4,1,56,0
2422,-102,46,74,387,6,15,50,0
2437,-101,119,74,385,11,10,57,0
2442,-102,56,81,380,7,15,57,0
2462,-102,42,81,380,5,12,56,0
5805,-102,37,60,401,28,16,58,1
2452,-101,91,81,379,6,10,56,0
5805,-102,48,80,381,10,10,60,1
5805,-102,30,68,393,13,11,49,1
2447,-101,110,81,379,4,12,56,0
5805,-102,34,60,401,27,13,58,1
5805,-102,41,61,399,26,11,59,1
2422,-102,57,80,381,11,9,58,0
2422,-102,52,81,380,4,7,56,0
2462,-101,85,81,379,4,13,55,0
5805,-102,38,59,401,28,12,57,1
2457,-102,54,74,386,6,11,50,0
5805,-102,39,61,400,27,14,58,1
5805,-102,44,61,399,26,13,59,1
2452,-101,108,81,379,7,7,57,0
2422,-102,89,79,382,14,15,56,0
2452,-102,43,74,386,4,10,49,0
5805,-102,44,62,398,26,12,59,1
2452,-102,89,81,380,5,14,55,0
5805,-102,31,60,400,27,15,58,1
5805,-102,33,60,401,29,14,58,1
5805,-102,53,63,398,25,12,60,1
5805,-102,38,60,400,26,17,59,1
5805,-102,45,61,400,27,17,59,1
5805,-102,23,78,382,11,8,56,1
5765,-102,71,79,382,14,9,59,1
5805,-102,37,60,400,27,16,58,1
5805,-102,39,61,400,27,17,59,1
5805,-102,41,61,400,26,15,58,1
2437,-102,90,79,381,6,0,54,0
2437,-101,110,81,379,5,13,56,0
5805,-102,41,78,382,10,10,57,1
2447,-101,101,81,379,4,13,55,0
5805,-102,39,61,399,26,16,59,1
2437,-102,97,81,380,6,13,56,0
2457,-102,56,81,380,6,14,55,0
5805,-102,47,61,400,27,16,59,1
5805,-102,38,61,400,26,12,58,1
2417,-102,94,81,380,6,14,58,0
2437,-101,47,81,379,3,8,55,0
2417,-102,57,76,385,12,15,54,0
2442,-102,29,81,380,5,8,54,0
2457,-101,71,80,379,7,15,59,0
5805,-102,56,60,400,28,17,58,1
5805,-102,33,60,401,28,15,58,1
5805,-102,41,60,401,28,16,58,1
2432,-102,62,81,380,6,14,56,0
2432,-101,78,74,386,10,19,57,0
2452,-101,51,74,385,5,13,50,0
5805,-102,43,61,399,26,16,59,1
5805,-102,40,61,400,27,15,59,1
5805,-102,39,60,401,28,15,58,1
5805,-102,46,60,400,26,13,58,1
5805,-102,38,61,400,28,13,59,1
2437,-101,43,74,385,5,12,49,0
2462,-102,50,81,380,4,11,55,0
5805,-102,39,62,399,26,13,59,1
5805,-102,34,59,401,28,12,57,1
2432,-102,54,81,380,9,16,58,0
5805,-102,37,62,399,26,13,60,1
5180,-102,46,72,388,12,8,58,1
2417,-103,94,81,381,5,12,55,0
5240,-102,36,75,385,11,9,57,1
2462,-102,40,81,380,5,15,57,0
5805,-102,38,60,400,27,15,58,1
5805,-102,32,61,400,27,14,58,1
5805,-102,41,62,399,25,13,60,1
2417,-102,101,81,380,7,13,58,0
5805,-102,46,61,400,27,15,59,1
5805,-102,49,61,399,26,15,59,1
5805,-102,32,80,380,10,6,57,1
5805,-102,47,61,399,25,16,59,1
2462,-102,95,69,392,4,16,47,0
2452,-102,47,81,380,6,9,57,0
5805,-102,34,59,401,28,16,57,1
